BOOT0:1
C1:1
C10:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
H1:1
H2:1
H3:1
H4:1
I2C1:1
J1:1
PWM1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
RST:1
SWD:1
U1:1
U2:1
U3:1
U4:1
Y1:1
